Госдолга США	18141000000000
Porsche 911	315000
Aston Martin Vantage S	198307
Bentley Continental GT	204900
Lamborghini: Aventador	364999
Porsche 911 Turbo	129000
Ford Ford GT	128500
Porsche Cayman GTS	78888
Двухкомнатной квартиры в Москве	145175
Однокомнатной квартиры в Москве	102807
Трехкомнатной квартиры в Москве	245278
Tesla S Model	105000
ВВП США	16770000000000
ВВП России	2097000000000
ВВП Китая	9240000000000
Iphone 6	930
Iphone 6 Plus	1034
